Date de mesure,O₃,WD,WS,TEM,HUM
,ppm,degré,m/s,°C,%
01/01/2014 00:00,0.029 ,203.09 ,1.806 ,10.22 ,75.569 
01/01/2014 01:00,0.029 ,203.497 ,1.46 ,10.415 ,75.033 
01/01/2014 02:00,0.031 ,206.215 ,1.574 ,10.037 ,75.868 
01/01/2014 03:00,0.029 ,207.942 ,1.251 ,9.835 ,76.783 
01/01/2014 04:00,0.028 ,221.387 ,1.054 ,9.543 ,79.533 
01/01/2014 05:00,0.025 ,213.193 ,1.052 ,9.475 ,80.951 
01/01/2014 06:00,0.018 ,183.035 ,1.114 ,8.885 ,82.356 
01/01/2014 07:00,0.017 ,197.123 ,1.485 ,8.948 ,83.694 
01/01/2014 08:00,0.021 ,216.642 ,1.768 ,10.379 ,80.815 
01/01/2014 09:00,0.034 ,228.61 ,2.912 ,12.569 ,72.428 
01/01/2014 10:00,0.035 ,233.226 ,3.577 ,13.294 ,68.374 
01/01/2014 11:00,0.036 ,238.095 ,3.461 ,13.891 ,65.251 
01/01/2014 12:00,0.04 ,240.678 ,3.736 ,14.303 ,61.826 
01/01/2014 13:00,0.038 ,244.543 ,3.306 ,14.528 ,60.606 
01/01/2014 14:00,0.039 ,234.689 ,3.373 ,14.768 ,58.178 
01/01/2014 15:00,0.038 ,239.208 ,2.887 ,14.754 ,58.346 
01/01/2014 16:00,0.034 ,230.707 ,1.934 ,14.325 ,62.156 
01/01/2014 17:00,0.019 ,205.333 ,1.079 ,12.968 ,67.44 
01/01/2014 18:00,0.014 ,217.724 ,1.116 ,12.214 ,68.323 
01/01/2014 19:00,0.024 ,231.865 ,0.991 ,11.822 ,67.726 
01/01/2014 20:00,0.02 ,207.194 ,1.256 ,11.316 ,69.469 
01/01/2014 21:00,0.019 ,170.976 ,0.939 ,10.2 ,72.27 
01/01/2014 22:00,0.023 ,182.981 ,1.116 ,9.84 ,74.675 
01/01/2014 23:00,0.025 ,190.722 ,1.191 ,9.664 ,77.619 
01/02/2014 00:00,0.027 ,190.62 ,1.109 ,9.734 ,75.825 
01/02/2014 01:00,0.029 ,196.404 ,1.216 ,9.262 ,76.68 
01/02/2014 02:00,0.03 ,190.053 ,1.207 ,9.096 ,78.27 
01/02/2014 03:00,0.029 ,178.91 ,1.124 ,8.569 ,79.753 
01/02/2014 04:00,0.028 ,162.728 ,1.038 ,8.166 ,79.906 
01/02/2014 05:00,0.023 ,177.504 ,1.008 ,7.869 ,81.703 
01/02/2014 06:00,0.017 ,154.289 ,1.01 ,7.435 ,83.07 
01/02/2014 07:00,0.014 ,164.055 ,1.229 ,7.221 ,84.511 
01/02/2014 08:00,0.02 ,169.977 ,1.167 ,8.757 ,81.942 
01/02/2014 09:00,0.025 ,182.393 ,1.296 ,11.508 ,74.394 
01/02/2014 10:00,0.032 ,202.647 ,1.578 ,13.287 ,65.627 
01/02/2014 11:00,0.038 ,212.243 ,2.468 ,14.421 ,54.654 
01/02/2014 12:00,0.039 ,202.58 ,1.744 ,15.423 ,50.574 
01/02/2014 13:00,0.038 ,201.09 ,2.124 ,15.882 ,47.403 
01/02/2014 14:00,0.04 ,216.301 ,2.337 ,15.833 ,46.854 
01/02/2014 15:00,0.039 ,219.946 ,2.426 ,15.83 ,50.407 
01/02/2014 16:00,0.037 ,220.473 ,2.009 ,15.237 ,54.875 
01/02/2014 17:00,0.024 ,205.3 ,1.297 ,13.835 ,60.303 
01/02/2014 18:00,0.025 ,203.802 ,1.356 ,13.477 ,61.646 
01/02/2014 19:00,0.029 ,211.131 ,1.744 ,13.414 ,61.561 
01/02/2014 20:00,0.034 ,212.887 ,2.077 ,13.39 ,58.517 
01/02/2014 21:00,0.036 ,214.185 ,1.919 ,13.331 ,58.881 
01/02/2014 22:00,0.036 ,197.432 ,1.515 ,13.003 ,61.308 
01/02/2014 23:00,0.03 ,177.779 ,1.16 ,12.062 ,63.194 
