Date de mesure,O₃,WD,WS,TEM,HUM
01/01/2014 00:00,0.037 ,215.724 ,1.119 ,10.782 ,74.655 
01/01/2014 01:00,0.039 ,198.282 ,1.497 ,9.818 ,75.221 
01/01/2014 02:00,0.036 ,191.725 ,1.262 ,8.746 ,77.117 
01/01/2014 03:00,0.037 ,196.502 ,1.59 ,8.268 ,78.48 
01/01/2014 04:00,0.034 ,192.499 ,1.122 ,8.191 ,77.84 
01/01/2014 05:00,0.032 ,197.488 ,1.622 ,8.008 ,78.777 
01/01/2014 06:00,0.028 ,199.134 ,1.63 ,7.944 ,78.707 
01/01/2014 07:00,0.025 ,198.862 ,1.827 ,7.485 ,80.521 
01/01/2014 08:00,0.026 ,199.135 ,1.799 ,9.235 ,77.702 
01/01/2014 09:00,0.028 ,201.68 ,1.525 ,11.756 ,71.321 
01/01/2014 10:00,0.042 ,204.397 ,1.684 ,14.925 ,60.287 
01/01/2014 11:00,0.04 ,208.185 ,1.511 ,16.456 ,54.735 
01/01/2014 12:00,0.049 ,214.08 ,1.461 ,16.97 ,52.174 
01/01/2014 13:00,0.044 ,223.94 ,1.012 ,17.953 ,49.04 
01/01/2014 14:00,0.051 ,210.491 ,0.579 ,17.875 ,48.487 
01/01/2014 15:00,0.043 ,243.501 ,0.563 ,17.144 ,49.214 
01/01/2014 16:00,0.034 ,114.308 ,0.421 ,15.347 ,54.249 
01/01/2014 17:00,0.025 ,108.364 ,0.286 ,13.548 ,62.417 
01/01/2014 18:00,0.028 ,140.967 ,0.384 ,12.972 ,69.041 
01/01/2014 19:00,0.032 ,139.538 ,0.834 ,12.957 ,70.313 
01/01/2014 20:00,0.039 ,125.919 ,1.093 ,12.583 ,71.385 
01/01/2014 21:00,0.044 ,156.158 ,1.137 ,12.168 ,69.007 
01/01/2014 22:00,0.042 ,171.96 ,1.152 ,11.604 ,67.446 
01/01/2014 23:00,0.039 ,180.505 ,1.251 ,11.187 ,67.325 
01/02/2014 00:00,0.041 ,189.278 ,1.327 ,10.531 ,71.35 
01/02/2014 01:00,0.037 ,186.421 ,1.372 ,10.357 ,71.24 
01/02/2014 02:00,0.041 ,189.437 ,1.227 ,9.91 ,72.01 
01/02/2014 03:00,0.041 ,179.531 ,1.272 ,9.515 ,73.142 
01/02/2014 04:00,0.038 ,183.272 ,1.468 ,8.884 ,74.871 
01/02/2014 05:00,0.038 ,178.851 ,1.578 ,8.444 ,75.859 
01/02/2014 06:00,0.032 ,181.651 ,0.665 ,7.855 ,76.747 
01/02/2014 07:00,0.024 ,171.731 ,1.033 ,7.583 ,79.262 
01/02/2014 08:00,0.029 ,184.019 ,1.593 ,10.218 ,73.547 
01/02/2014 09:00,0.037 ,181.695 ,1.369 ,12.768 ,65.434 
01/02/2014 10:00,0.039 ,178.953 ,1.245 ,14.742 ,60.251 
01/02/2014 11:00,0.04 ,182.784 ,1.606 ,15.993 ,55.754 
01/02/2014 12:00,0.046 ,169.008 ,1.447 ,16.113 ,52.934 
01/02/2014 13:00,0.049 ,108.639 ,1.13 ,17.344 ,48.944 
01/02/2014 14:00,0.046 ,96.895 ,0.71 ,17.696 ,52.94 
01/02/2014 15:00,0.041 ,80.69 ,0.924 ,17.124 ,55.657 
01/02/2014 16:00,0.023 ,142.601 ,0.39 ,16.181 ,62.031 
01/02/2014 17:00,0.023 ,182.476 ,0.344 ,15.008 ,62.508 
01/02/2014 18:00,0.029 ,174.376 ,0.385 ,14.018 ,62.582 
01/02/2014 19:00,0.028 ,177.509 ,0.656 ,13.756 ,62.744 
01/02/2014 20:00,0.028 ,189.328 ,0.772 ,13.487 ,61.584 
01/02/2014 21:00,0.03 ,197.423 ,0.657 ,13.083 ,62.498 
01/02/2014 22:00,0.034 ,199.789 ,0.668 ,12.678 ,64.193 
01/02/2014 23:00,0.035 ,184.827 ,0.303 ,12.504 ,65.102 
01/03/2014 00:00,0.032 ,187.764 ,0.306 ,11.997 ,67.483 
01/03/2014 01:00,0.032 ,201.698 ,0.463 ,11.221 ,70.359 
01/03/2014 02:00,0.032 ,187.351 ,0.62 ,10.493 ,73.423 
01/03/2014 03:00,0.033 ,196.387 ,0.983 ,10.163 ,75.199 
01/03/2014 04:00,0.033 ,200.241 ,1.061 ,9.941 ,76.231 
01/03/2014 05:00,0.036 ,204.83 ,0.805 ,9.925 ,77.295 
01/03/2014 06:00,0.033 ,194.727 ,1.037 ,9.467 ,79.24 
01/03/2014 07:00,0.033 ,196.283 ,0.896 ,9.249 ,81.315 
01/03/2014 08:00,0.033 ,203.218 ,1.166 ,12.211 ,74.078 
01/03/2014 09:00,0.032 ,208.111 ,1.172 ,15.066 ,63.403 
01/03/2014 10:00,0.029 ,205.026 ,1.315 ,17.318 ,56.582 
01/03/2014 11:00,0.036 ,203.336 ,1.484 ,19.018 ,52.844 
01/03/2014 12:00,0.037 ,164.109 ,0.896 ,19.963 ,49.92 
01/03/2014 13:00,0.042 ,133.829 ,0.871 ,20.502 ,47.788 
01/03/2014 14:00,0.039 ,87.234 ,1.069 ,19.666 ,52.285 
01/03/2014 15:00,0.04 ,87.628 ,1.06 ,19.009 ,53.956 
01/03/2014 16:00,0.043 ,88.567 ,1.208 ,17.503 ,62.146 
01/03/2014 17:00,0.033 ,87.105 ,1.249 ,16.528 ,67.26 
01/03/2014 18:00,0.034 ,102.611 ,1.06 ,16.216 ,69.131 
01/03/2014 19:00,0.032 ,117.465 ,1.085 ,15.556 ,68.457 
01/03/2014 20:00,0.039 ,134.572 ,0.978 ,15.201 ,68.733 
01/03/2014 21:00,0.04 ,163.558 ,0.97 ,14.681 ,67.132 
01/03/2014 22:00,0.047 ,172.015 ,1.432 ,14.442 ,66.874 
01/03/2014 23:00,0.044 ,172.804 ,1.29 ,14.374 ,65.199 
01/04/2014 00:00,0.044 ,181.307 ,1.622 ,13.943 ,63.687 
01/04/2014 01:00,0.041 ,189.165 ,1.699 ,12.953 ,66.549 
01/04/2014 02:00,0.037 ,185.781 ,1.527 ,12.359 ,68.565 
01/04/2014 03:00,0.041 ,168.636 ,1.683 ,11.933 ,69.813 
01/04/2014 04:00,0.04 ,175.263 ,1.791 ,11.984 ,68.641 
01/04/2014 05:00,0.039 ,179.757 ,1.976 ,12.145 ,67.45 
01/04/2014 06:00,0.038 ,183.805 ,2.045 ,11.968 ,67.957 
01/04/2014 07:00,0.034 ,180.013 ,1.943 ,12.267 ,64.845 
01/04/2014 08:00,0.035 ,175.79 ,1.798 ,13.52 ,63.964 
01/04/2014 09:00,0.037 ,173.046 ,1.99 ,15.122 ,60.532 
01/04/2014 10:00,0.04 ,156.445 ,1.305 ,17.677 ,54.629 
01/04/2014 11:00,0.038 ,177.417 ,1.281 ,19.669 ,52.746 
01/04/2014 12:00,0.038 ,150.743 ,1.954 ,20.105 ,48.893 
01/04/2014 13:00,0.04 ,122.509 ,2.117 ,20.223 ,47.505 
01/04/2014 14:00,0.036 ,99.597 ,1.918 ,20.062 ,51.272 
01/04/2014 15:00,0.039 ,108.805 ,1.986 ,19.644 ,53.536 
01/04/2014 16:00,0.036 ,119.323 ,1.813 ,18.433 ,58.246 
01/04/2014 17:00,0.033 ,129.251 ,1.955 ,17.231 ,60.403 
01/04/2014 18:00,0.028 ,128.949 ,1.989 ,16.173 ,65.205 
01/04/2014 19:00,0.036 ,132.357 ,1.946 ,15.105 ,67.759 
01/04/2014 20:00,0.04 ,126.526 ,2.014 ,14.461 ,64.491 
01/04/2014 21:00,0.041 ,139.195 ,1.393 ,13.973 ,62.017 
01/04/2014 22:00,0.047 ,149.89 ,1.671 ,13.839 ,59.022 
01/04/2014 23:00,0.043 ,152.666 ,1.85 ,13.921 ,57.028 
01/05/2014 00:00,0.045 ,164.726 ,2.357 ,13.863 ,56.101 
01/05/2014 01:00,0.045 ,165.646 ,2.763 ,13.452 ,57.383 
01/05/2014 02:00,0.042 ,169.56 ,3.381 ,13.923 ,57.296 
01/05/2014 03:00,0.048 ,192.548 ,1.909 ,13.976 ,58.334 
01/05/2014 04:00,0.042 ,179.098 ,1.54 ,13.65 ,59.923 
01/05/2014 05:00,0.041 ,181.567 ,2.054 ,13.619 ,61.125 
01/05/2014 06:00,0.045 ,192.962 ,2.253 ,13.64 ,60.257 
01/05/2014 07:00,0.041 ,198.666 ,2.049 ,13.688 ,60.041 
01/05/2014 08:00,0.039 ,241.027 ,1.639 ,15.653 ,63.072 
01/05/2014 09:00,0.04 ,249.395 ,1.709 ,16.732 ,66.356 
01/05/2014 10:00,0.047 ,249.595 ,2.085 ,16.517 ,63.809 
01/05/2014 11:00,0.051 ,236.889 ,2.723 ,15.9 ,55.486 
