Date de mesure,O₃,WD,WS,TEM,HUM
,ppm,degré,m/s,°C,%
01/01/2014 00:00,0.068 ,274.243 ,2.618 ,9.68 ,69.908 
01/01/2014 01:00,0.071 ,280.257 ,1.908 ,9.067 ,73.086 
01/01/2014 02:00,0.053 ,283.595 ,1.763 ,7.863 ,79.013 
01/01/2014 03:00,0.049 ,275.419 ,2.119 ,7.52 ,80.067 
01/01/2014 04:00,0.045 ,269.571 ,1.945 ,7.132 ,80.316 
01/01/2014 05:00,0.054 ,279.89 ,1.81 ,7.228 ,79.448 
01/01/2014 06:00,0.052 ,276.745 ,1.567 ,7.801 ,76.029 
01/01/2014 07:00,0.045 ,242.921 ,1.072 ,7.962 ,76.054 
01/01/2014 08:00,0.039 ,245.343 ,1.085 ,9.798 ,71.272 
01/01/2014 09:00,0.048 ,269.82 ,2.003 ,11.079 ,68.154 
01/01/2014 10:00,0.052 ,294.53 ,1.564 ,11.358 ,69.643 
01/01/2014 11:00,0.053 ,287.181 ,1.863 ,12.437 ,65.844 
01/01/2014 12:00,0.05 ,283.083 ,2.549 ,13.752 ,60.858 
01/01/2014 13:00,0.056 ,274.157 ,2.41 ,14.482 ,54.746 
01/01/2014 14:00,0.058 ,264.24 ,3.607 ,14.451 ,51.859 
01/01/2014 15:00,0.057 ,268.424 ,3.237 ,14.929 ,50.109 
01/01/2014 16:00,0.055 ,270.071 ,2.117 ,14.777 ,50.935 
01/01/2014 17:00,0.048 ,287.931 ,0.89 ,13.045 ,59.193 
01/01/2014 18:00,0.047 ,272.45 ,1.574 ,11.945 ,63.467 
01/01/2014 19:00,0.051 ,256.837 ,1.534 ,11.755 ,62.184 
01/01/2014 20:00,0.053 ,255.066 ,1.575 ,11.218 ,65.626 
01/01/2014 21:00,0.049 ,223.04 ,1.292 ,11.011 ,69.292 
01/01/2014 22:00,0.052 ,269.546 ,1.88 ,10.517 ,73.111 
01/01/2014 23:00,0.057 ,286.349 ,1.753 ,9.185 ,77.63 
01/02/2014 00:00,0.046 ,285.298 ,1.809 ,8.388 ,80.661 
01/02/2014 01:00,0.055 ,268.876 ,1.363 ,8.237 ,78.85 
01/02/2014 02:00,0.053 ,281.003 ,1.242 ,7.778 ,79.056 
01/02/2014 03:00,0.056 ,281.64 ,1.223 ,7.621 ,79.87 
01/02/2014 04:00,0.067 ,282.332 ,1.296 ,7.845 ,78.98 
01/02/2014 05:00,0.054 ,262.057 ,0.881 ,7.17 ,80.481 
01/02/2014 06:00,0.056 ,265.326 ,0.962 ,6.892 ,81.55 
01/02/2014 07:00,0.05 ,282.92 ,1.52 ,7.681 ,81.218 
01/02/2014 08:00,0.049 ,280.079 ,1.134 ,9.563 ,76.278 
01/02/2014 09:00,0.044 ,150.733 ,1.125 ,10.974 ,72.913 
01/02/2014 10:00,0.045 ,224.204 ,1.93 ,11.779 ,72.785 
01/02/2014 11:00,0.044 ,288.755 ,2.498 ,11.755 ,72.64 
01/02/2014 12:00,0.051 ,270.901 ,2.112 ,13.953 ,66.56 
01/02/2014 13:00,0.053 ,264.205 ,3.696 ,14.53 ,61.964 
01/02/2014 14:00,0.064 ,270.73 ,2.896 ,14.618 ,59.949 
01/02/2014 15:00,0.064 ,275.577 ,2.385 ,14.069 ,62.766 
01/02/2014 16:00,0.058 ,271.709 ,2.561 ,13.508 ,64.667 
01/02/2014 17:00,0.047 ,267.315 ,2.851 ,12.735 ,67.255 
01/02/2014 18:00,0.043 ,251.946 ,2.73 ,12.201 ,70.535 
01/02/2014 19:00,0.046 ,245.021 ,2.644 ,11.936 ,71.003 
01/02/2014 20:00,0.052 ,245.908 ,3.227 ,12.289 ,65.632 
01/02/2014 21:00,0.05 ,276.494 ,1.874 ,11.883 ,67.916 
01/02/2014 22:00,0.057 ,283.871 ,1.631 ,11.341 ,66.913 
01/02/2014 23:00,0.056 ,257.871 ,3.359 ,11.614 ,63.712 
01/03/2014 00:00,0.056 ,270.827 ,2.778 ,11.433 ,65.49 
01/03/2014 01:00,0.056 ,276.4 ,2.421 ,10.819 ,71.176 
01/03/2014 02:00,0.052 ,278.977 ,2.573 ,10.322 ,75.593 
01/03/2014 03:00,0.056 ,281.64 ,2.576 ,10.05 ,74.926 
01/03/2014 04:00,0.056 ,269.416 ,2.699 ,9.8 ,73.803 
01/03/2014 05:00,0.059 ,277.126 ,2.192 ,9.511 ,74.012 
01/03/2014 06:00,0.049 ,279.367 ,2.019 ,8.852 ,76.961 
01/03/2014 07:00,0.046 ,282.692 ,2.398 ,8.755 ,80.681 
01/03/2014 08:00,0.044 ,271.117 ,1.347 ,10.222 ,76.595 
01/03/2014 09:00,0.041 ,275.525 ,1.389 ,12.063 ,68.508 
01/03/2014 10:00,0.052 ,285.791 ,1.496 ,13.179 ,61.974 
01/03/2014 11:00,0.045 ,268.194 ,1.471 ,14.898 ,55.65 
01/03/2014 12:00,0.051 ,264.158 ,1.681 ,16.085 ,53.068 
01/03/2014 13:00,0.047 ,260.363 ,1.605 ,17.315 ,50.654 
01/03/2014 14:00,0.052 ,274.453 ,1.756 ,17.607 ,47.933 
01/03/2014 15:00,0.047 ,298.192 ,1.735 ,17.997 ,46.058 
01/03/2014 16:00,0.055 ,315.698 ,2.423 ,16.878 ,48.135 
01/03/2014 17:00,0.057 ,291.859 ,1.61 ,15.611 ,52.525 
01/03/2014 18:00,0.054 ,300.12 ,1.772 ,14.4 ,57.245 
01/03/2014 19:00,0.057 ,289.479 ,1.2 ,13.85 ,59.761 
01/03/2014 20:00,0.045 ,289.123 ,1.409 ,13.14 ,63.047 
01/03/2014 21:00,0.043 ,307.25 ,1.672 ,12.244 ,66.848 
01/03/2014 22:00,0.047 ,269.637 ,0.948 ,11.843 ,66.401 
01/03/2014 23:00,0.059 ,281.313 ,0.658 ,11.154 ,68.536 
01/04/2014 00:00,0.047 ,278.855 ,0.425 ,10.899 ,69.319 
01/04/2014 01:00,0.053 ,293.132 ,1.245 ,10.805 ,69.329 
01/04/2014 02:00,0.052 ,315.379 ,1.936 ,10.591 ,69.961 
01/04/2014 03:00,0.047 ,296.018 ,1.682 ,9.949 ,72.185 
01/04/2014 04:00,0.048 ,264.689 ,1.312 ,10.139 ,71.544 
01/04/2014 05:00,0.045 ,272.575 ,1.193 ,10.093 ,71.673 
